Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk
P0011,Dam Reinforcement,Road,Low,5523669,79,83,34,2.12,0.77,363,Feasible,1,,,13054.63,1464856.99,122,100.0,934392.05,59,100.0,1377776.66,85,70.61,704904.66,46,50.49,1041738.65,51,49.79
P0012,Urban Flyover,Power Plant,High,5981505,61,47,52,0.3,0.55,179,Feasible,3,,,878.03,359365.7,20,36.78,791937.82,33,53.64,906384.63,26,30.09,3296075.37,70,61.88,627741.48,30,52.61
P0013,Urban Flyover,Water Infra,High,6564759,84,32,99,4.34,0.66,223,Feasible,3,,,2714.1,922073.77,42,38.9,1253555.75,51,44.17,2384073.53,57,18.51,1367546.08,41,29.94,637509.87,33,28.47
P0014,Urban Flyover,Building,High,2766891,60,36,30,2.78,0.53,258,Feasible,3,,,943.6,93327.56,24,32.32,346844.58,29,55.7,830686.51,61,26.21,970961.08,68,43.8,525071.27,77,21.97
P0015,Smart Solar Grid,Bridge,Medium,5521373,95,72,39,8.7,0.7,422,Not Feasible,2,,,1040.91,332452.0,38,51.53,1301369.46,123,100.0,2404633.94,154,100.0,800198.07,45,46.05,682719.52,63,26.51
P0016,Smart Solar Grid,Power Plant,Low,4344769,99,67,43,6.05,0.59,278,Feasible,1,,,700.94,227072.3,28,55.72,475389.9,52,73.32,652728.62,41,44.97,2445214.77,113,85.64,544363.41,44,75.34
P0017,Highway Expansion,Water Infra,High,1791743,70,66,83,6.14,0.78,351,Feasible,3,,,700.32,195918.7,66,71.0,326217.66,76,87.69,731132.58,110,46.29,431754.31,54,59.37,106719.75,45,65.66
P0018,Highway Expansion,Water Infra,High,1103355,70,87,99,5.32,0.85,196,Not Feasible,3,,,443.35,137818.09,39,93.84,182896.29,46,100.0,438528.58,52,59.18,255893.76,37,76.67,88218.28,22,87.61
P0019,Urban Flyover,Bridge,Medium,2262752,54,62,84,0.92,0.77,137,Feasible,2,,,428.06,151820.03,14,47.55,396992.13,32,100.0,1088318.24,55,92.38,345985.07,21,41.66,279636.53,15,25.95
P0020,Highway Expansion,Power Plant,Medium,2396025,97,88,92,4.45,0.72,141,Feasible,2,,,303.26,144283.06,17,67.24,353964.06,29,95.34,429157.77,24,58.47,1118506.32,53,100.0,350113.78,18,100.0
P0021,Smart Solar Grid,Water Infra,High,6664789,69,40,95,10.0,0.69,303,Not Feasible,3,,,2989.26,709879.23,59,48.82,1144878.15,60,54.83,2686472.8,88,27.45,1550589.64,55,32.99,572969.18,41,35.92
P0022,Highway Expansion,Road,Low,6183740,86,97,36,8.35,0.92,264,Feasible,1,,,19078.14,1584514.01,99,100.0,889182.16,49,100.0,1629457.47,59,88.91,621370.53,28,55.87,1459215.84,29,51.44
P0023,Dam Reinforcement,Bridge,Medium,2307371,52,97,80,8.93,0.61,157,Feasible,2,,,389.77,159228.2,9,68.68,535245.8,50,100.0,1034654.87,59,100.0,313550.96,20,68.44,264691.16,18,35.03
P0024,Smart Solar Grid,Road,Low,1917040,93,51,34,8.23,0.87,400,Not Feasible,1,,,5021.54,464108.74,131,86.22,340917.78,73,70.08,484808.88,92,43.1,206068.22,47,23.93,421136.39,56,31.66
P0025,Dam Reinforcement,Bridge,Medium,6743066,82,95,70,1.03,0.88,407,Feasible,2,,,1357.98,453258.31,25,71.75,1588975.19,110,100.0,2888590.05,166,100.0,860187.76,47,54.33,952054.68,59,41.17
P0026,Highway Expansion,Building,Medium,3253882,58,73,46,2.27,0.71,262,Feasible,2,,,1353.94,201825.77,18,60.92,510605.59,37,100.0,1045751.02,63,49.85,825870.65,60,80.46,669828.97,84,44.63
P0027,Industrial Complex,Building,Low,4530409,58,35,93,0.03,0.65,132,Feasible,1,,,1501.42,194629.02,9,34.29,595900.99,19,57.4,1177036.76,22,21.5,1512936.71,37,37.94,1049905.52,45,23.87
P0028,Urban Flyover,Power Plant,High,5849115,53,71,80,3.04,0.74,305,Borderline,3,,,900.2,323327.02,38,52.39,793177.7,59,79.28,960686.37,59,50.75,2941896.36,106,90.58,830027.55,43,81.99
P0029,Smart Solar Grid,Water Infra,Low,5721339,84,54,77,1.09,0.55,593,Not Feasible,1,,,2767.76,675759.93,107,66.75,894512.92,142,73.95,2421340.07,192,34.68,1202207.73,89,42.7,527518.35,64,51.91
P0030,Dam Reinforcement,Road,High,5842447,66,86,50,4.73,0.52,553,Feasible,3,,,12166.41,1408824.0,176,100.0,915585.52,104,100.0,1412952.97,128,78.71,764062.68,77,52.17,1341021.82,67,40.3
P0031,Industrial Complex,Water Infra,High,2500942,83,84,31,6.77,0.56,386,Borderline,3,,,1146.36,280542.82,70,100.0,401686.58,90,100.0,1083421.81,112,54.21,480962.29,67,65.03,254328.49,47,82.51
P0032,Industrial Complex,Building,Medium,5260029,73,45,65,8.75,0.59,388,Not Feasible,2,,,2475.09,173501.02,24,39.32,795043.22,52,77.19,1529506.7,90,34.83,1515037.11,98,53.63,1246940.95,124,20.03
P0033,Smart Solar Grid,Road,Medium,4275709,81,43,50,7.49,0.75,216,Feasible,2,,,6827.68,892406.65,73,76.66,785703.36,37,57.58,1037411.23,51,37.84,611900.52,26,22.75,948287.24,29,20.18
P0034,Smart Solar Grid,Power Plant,Medium,1084654,50,68,51,9.39,0.92,553,Feasible,2,,,159.13,68169.27,60,54.06,148994.98,92,71.02,186064.96,101,48.83,557268.55,209,90.63,124156.25,91,75.46
P0035,Industrial Complex,Water Infra,High,6147581,57,57,51,0.54,0.62,476,Feasible,3,,,3350.05,742627.71,77,70.58,1114200.57,118,77.54,2576953.92,133,36.84,1140833.58,93,44.84,572965.21,56,55.21
P0036,Urban Flyover,Bridge,High,2954354,94,80,72,0.12,0.97,413,Feasible,3,,,557.18,229648.15,37,67.59,556079.05,110,100.0,1325714.49,154,100.0,392309.2,54,45.85,450603.11,58,31.45
P0037,Urban Flyover,Bridge,Low,3416182,72,78,80,6.61,0.98,120,Feasible,1,,,564.66,252597.14,11,56.26,790517.3,35,100.0,1492986.36,46,100.0,385283.76,14,46.0,494797.44,14,28.49
P0038,Dam Reinforcement,Road,Low,4474675,96,38,65,2.89,0.98,414,Feasible,1,,,11960.09,1087918.04,142,62.91,698632.37,70,51.49,1201377.38,105,29.56,461649.27,50,21.57,1025097.94,47,24.47
P0039,Urban Flyover,Bridge,Low,3652991,89,87,93,2.54,0.92,146,Not Feasible,1,,,797.94,275863.65,9,59.78,740182.95,39,100.0,1715738.38,56,100.0,419194.64,20,54.6,502011.37,21,28.94
P0040,Industrial Complex,Bridge,Low,3428388,61,74,99,3.31,0.68,155,Feasible,1,,,588.57,260128.37,12,54.51,632489.21,50,100.0,1505729.88,55,100.0,550109.66,18,50.59,479930.89,19,22.79
P0041,Industrial Complex,Building,High,1528178,61,51,26,2.7,0.54,279,Feasible,3,,,758.73,108981.96,26,47.24,193991.58,43,82.75,494404.04,55,31.55,452310.07,64,63.02,278490.34,91,30.44
P0042,Highway Expansion,Power Plant,High,3663046,95,61,23,5.11,0.78,544,Not Feasible,3,,,467.4,369128.63,60,49.12,506317.43,113,69.74,565744.95,90,43.65,1771028.59,194,81.09,450826.41,87,61.4
P0043,Industrial Complex,Bridge,Low,3586644,96,98,71,4.4,0.78,518,Borderline,1,,,733.23,183587.02,44,74.88,878643.55,161,100.0,1587972.31,195,100.0,464699.7,58,59.67,471741.43,60,41.18
P0044,Urban Flyover,Bridge,Low,6499720,64,98,50,5.12,0.92,150,Feasible,1,,,1145.8,340185.7,12,74.76,1646368.43,44,100.0,2901737.77,59,100.0,740444.19,18,65.66,870983.9,18,40.96
P0045,Dam Reinforcement,Water Infra,High,3570406,90,71,94,6.73,1.0,246,Feasible,3,,,1530.64,472586.45,43,82.15,755255.74,55,97.9,1453289.28,75,41.69,660656.51,39,61.83,228618.02,34,71.43
P0046,Highway Expansion,Road,Low,4416664,68,82,55,3.87,0.75,381,Feasible,1,,,11009.71,1064435.52,122,100.0,670058.77,68,100.0,1190119.05,87,67.56,529892.18,52,45.31,962158.48,51,47.18
P0047,Urban Flyover,Building,Medium,4385659,75,88,73,2.51,0.67,464,Borderline,2,,,1731.69,285668.76,36,82.95,621478.23,60,100.0,1225854.37,99,59.77,1169928.83,123,100.0,1082728.82,146,39.46
P0048,Dam Reinforcement,Road,High,4385357,78,68,73,1.66,0.59,555,Not Feasible,3,,,9036.67,998207.69,192,100.0,699323.73,90,88.41,1187523.3,124,58.35,505385.91,70,41.52,994916.37,78,41.17
P0049,Urban Flyover,Water Infra,Medium,3795513,71,44,36,3.49,0.5,329,Feasible,2,,,1988.96,425607.75,58,51.22,615037.23,82,60.48,1544658.85,88,30.95,849103.61,57,36.6,361105.55,44,40.74
P0050,Highway Expansion,Water Infra,Medium,2465689,89,58,94,7.42,0.75,269,Not Feasible,2,,,969.32,328057.64,53,67.6,400167.93,55,78.77,1103202.99,80,32.84,489274.71,51,49.77,144985.73,30,61.02
P0051,Industrial Complex,Water Infra,High,1068148,70,32,49,7.57,0.78,150,Not Feasible,3,,,452.48,133008.58,29,38.03,209342.5,38,46.09,451875.68,40,17.75,168685.09,25,26.3,105236.15,19,31.84
P0052,Highway Expansion,Bridge,High,2825665,87,39,41,6.67,0.91,219,Borderline,3,,,571.41,184185.01,17,32.32,691176.09,63,62.43,1129380.36,79,60.4,448581.77,31,24.31,372341.77,29,15.55
P0053,Industrial Complex,Road,Medium,3745683,69,58,62,2.34,0.75,448,Feasible,2,,,5671.73,783422.31,155,96.36,593662.71,90,71.92,1119906.76,96,53.78,479256.98,49,31.46,769434.24,57,36.49
P0054,Highway Expansion,Road,Low,4397723,78,64,46,5.88,0.96,421,Feasible,1,,,9037.34,983512.25,141,100.0,756034.65,77,88.43,1091295.91,106,54.84,603693.79,48,30.49,963186.4,49,33.41
P0055,Smart Solar Grid,Road,Low,4003758,53,35,56,5.71,0.81,570,Feasible,1,,,11136.72,995448.36,188,63.52,593059.29,96,47.95,1018879.4,137,28.97,423561.65,84,20.01,972809.29,65,14.56
P0056,Urban Flyover,Power Plant,High,5056518,56,41,65,4.84,0.92,472,Borderline,3,,,773.77,278219.18,49,32.04,526055.22,74,45.34,888868.93,87,30.46,2753764.99,173,52.74,609609.69,89,44.41
P0057,Urban Flyover,Building,Medium,3669995,77,67,54,5.5,0.57,338,Not Feasible,2,,,1601.75,227659.5,21,65.49,649882.05,52,100.0,1165052.96,74,50.65,944346.79,80,79.84,683053.71,110,28.92
P0058,Smart Solar Grid,Bridge,Medium,5450812,77,48,23,4.92,0.93,372,Feasible,2,,,886.36,451595.19,32,35.67,1221380.63,112,84.23,2276272.31,130,73.34,734164.07,53,32.64,767399.8,44,14.12
P0059,Industrial Complex,Building,High,5997895,53,96,99,5.65,0.84,290,Feasible,3,,,2509.86,286289.56,29,90.71,880755.23,37,100.0,1678313.95,51,69.5,1935291.27,78,100.0,1217244.99,95,44.28
P0060,Urban Flyover,Bridge,High,6091246,71,37,99,7.16,0.59,376,Feasible,3,,,1051.63,454447.77,30,28.54,1084192.97,89,59.07,2911976.47,158,56.85,731865.2,48,26.15,908763.59,52,14.38
P0061,Smart Solar Grid,Road,Medium,5798669,61,37,45,1.1,0.59,547,Not Feasible,2,,,18588.6,1173270.6,181,62.18,1043880.31,91,50.93,1565601.07,132,31.46,748342.68,59,20.81,1267574.34,83,19.62
P0062,Urban Flyover,Power Plant,Medium,2870928,94,76,38,7.5,0.96,176,Feasible,2,,,331.81,236389.04,18,57.22,324306.04,31,80.68,469045.59,33,49.02,1533514.45,68,100.0,307672.87,26,89.29
P0063,Dam Reinforcement,Power Plant,High,5155299,52,33,64,1.36,0.52,128,Feasible,3,,,763.37,381991.89,18,26.34,526544.07,25,35.28,825149.87,25,22.37,2756789.14,39,45.02,664824.02,21,35.99
P0064,Industrial Complex,Road,Medium,3557489,71,80,45,0.67,0.73,124,Feasible,2,,,7732.63,898403.26,39,100.0,632841.82,23,100.0,928984.4,28,70.99,436499.33,17,39.76,660760.19,17,45.68
P0065,Dam Reinforcement,Building,Low,2773415,93,96,41,9.76,0.66,454,Feasible,1,,,937.2,204768.67,47,79.27,321559.97,68,100.0,807204.25,101,76.5,756996.18,105,100.0,682885.94,134,45.53
P0066,Industrial Complex,Water Infra,High,6000193,51,74,77,9.57,0.83,233,Feasible,3,,,2353.28,640422.72,36,90.83,1090710.27,50,100.0,2637890.37,78,39.7,1046275.63,43,69.14,584894.02,26,66.78
P0067,Smart Solar Grid,Road,Low,6702653,73,37,82,0.6,0.92,384,Not Feasible,1,,,12464.4,1726097.0,137,62.75,1108108.73,61,45.07,1617410.44,80,35.24,838890.69,48,21.93,1412146.15,58,20.0
P0068,Industrial Complex,Bridge,High,3305413,83,45,47,4.43,0.68,292,Feasible,3,,,721.81,265665.96,32,37.92,684582.49,78,73.18,1414700.26,108,67.91,423917.02,38,25.81,516547.27,36,20.19
P0069,Industrial Complex,Building,High,4910197,76,96,84,1.86,0.71,339,Not Feasible,3,,,1566.81,252902.74,30,91.96,712755.13,42,100.0,1244954.82,80,67.08,1630723.06,92,100.0,1068861.25,95,57.72
P0070,Smart Solar Grid,Water Infra,Medium,6558019,90,38,63,4.85,0.99,324,Borderline,2,,,2699.79,831269.04,59,43.45,1140976.09,77,52.59,3057150.43,97,27.1,1102823.4,51,29.32,425800.04,40,37.53
P0071,Industrial Complex,Power Plant,Low,6414709,50,89,62,8.3,0.89,143,Feasible,1,,,975.77,403042.36,19,65.9,682954.39,22,96.06,1159357.18,27,63.41,3241190.92,46,100.0,928164.15,29,95.78
P0072,Urban Flyover,Bridge,Medium,1271836,57,44,56,9.51,0.95,577,Not Feasible,2,,,218.66,91314.59,51,34.04,221900.59,171,76.3,634214.35,200,66.18,162371.53,78,25.64,162034.93,77,17.85
P0073,Highway Expansion,Power Plant,Low,4584702,72,70,85,6.34,0.72,289,Feasible,1,,,744.11,425445.34,41,54.13,488865.2,55,72.94,836462.51,51,45.3,2364448.85,90,93.83,469480.1,52,83.8
P0074,Smart Solar Grid,Bridge,Medium,3095505,87,51,36,3.54,0.62,525,Feasible,2,,,556.06,270203.68,36,38.08,600894.99,128,90.0,1276716.73,213,73.95,472293.67,73,32.05,475395.93,76,20.92
P0075,Highway Expansion,Water Infra,High,3299435,55,53,59,6.03,0.71,222,Borderline,3,,,1695.23,402435.75,34,60.24,593093.6,47,73.26,1393186.45,71,33.47,727510.6,42,49.77,183208.59,28,48.25
P0076,Smart Solar Grid,Bridge,Low,1196769,71,73,57,3.12,0.86,179,Feasible,1,,,259.46,92784.61,20,50.85,314565.86,50,100.0,520835.38,62,100.0,137102.07,21,46.31,131481.08,26,31.17
P0077,Smart Solar Grid,Water Infra,Low,3658505,74,30,80,9.1,0.55,205,Feasible,1,,,1994.51,505779.15,36,34.49,661560.05,49,40.5,1389761.75,62,15.62,777024.82,32,28.22,324379.24,25,31.17
P0078,Dam Reinforcement,Road,High,2271741,67,39,28,8.7,0.64,374,Feasible,3,,,5591.14,603858.02,134,65.63,399078.23,61,48.81,590334.25,78,31.27,245013.62,51,26.32,433456.87,50,22.98
P0079,Dam Reinforcement,Road,High,4769315,66,85,96,5.58,0.52,284,Feasible,3,,,10127.28,998718.47,106,100.0,799336.52,44,100.0,1257986.17,61,76.93,574930.63,38,53.19,1138343.22,36,46.88
P0080,Industrial Complex,Bridge,Medium,2046797,61,79,94,3.25,0.72,491,Feasible,2,,,327.4,135685.38,49,60.58,503297.71,119,100.0,823337.6,183,100.0,299855.81,74,52.1,284620.51,67,31.68
P0081,Highway Expansion,Building,Low,4047262,55,41,80,2.93,0.91,286,Feasible,1,,,1631.74,242203.66,25,38.03,546706.03,32,69.42,1174915.05,57,30.27,1242672.32,81,46.81,840764.95,91,20.48
P0082,Smart Solar Grid,Power Plant,Medium,2584398,75,89,99,0.33,0.51,203,Feasible,2,,,344.78,221181.33,26,70.55,394068.24,31,94.49,473264.2,29,58.37,1227426.59,82,100.0,268457.64,35,97.79
P0083,Industrial Complex,Bridge,Low,3585031,76,55,35,8.16,0.84,577,Not Feasible,1,,,572.2,264278.24,46,40.35,852743.95,173,93.64,1532853.92,224,82.88,481737.27,70,38.41,453417.61,64,19.73
P0084,Urban Flyover,Bridge,Low,1564685,57,70,21,4.5,0.97,321,Feasible,1,,,291.64,98948.54,34,48.64,339947.95,75,100.0,682969.82,124,100.0,215682.0,47,46.6,227136.69,42,23.82
P0085,Smart Solar Grid,Power Plant,Medium,3879190,68,65,91,3.25,0.62,209,Feasible,2,,,447.98,362180.45,23,52.16,510225.41,34,70.89,642242.96,33,45.18,1803762.92,81,85.44,560778.26,38,71.33
P0086,Urban Flyover,Bridge,High,6596411,91,52,62,4.71,0.85,208,Feasible,3,,,1217.27,399289.89,15,35.12,1259496.73,48,88.62,2916408.19,84,81.86,1024732.24,29,38.04,996483.95,32,16.38
P0087,Industrial Complex,Power Plant,High,2311736,50,72,61,8.19,0.99,556,Feasible,3,,,278.56,190833.75,60,61.93,311741.39,101,80.16,424715.83,98,45.94,1048013.59,215,93.04,336431.45,83,78.93
P0088,Dam Reinforcement,Water Infra,Medium,2007293,78,35,96,1.25,0.98,239,Borderline,2,,,833.98,221793.68,45,42.42,374153.66,54,47.08,813328.91,75,21.74,436134.38,37,26.45,161882.37,28,37.31
P0089,Industrial Complex,Building,High,5774183,94,98,76,8.58,0.62,275,Not Feasible,3,,,2488.14,427471.09,22,92.62,758728.64,36,100.0,1512198.92,54,79.52,1906448.34,83,100.0,1169336.01,80,53.72
P0090,Urban Flyover,Road,Medium,4366612,98,72,86,8.98,0.55,580,Feasible,2,,,6691.42,1032105.38,189,100.0,679462.65,99,100.0,1186881.05,143,58.58,446902.98,73,37.98,1021259.94,75,30.73
P0091,Smart Solar Grid,Road,High,1023247,84,54,49,9.47,0.57,518,Feasible,3,,,1476.6,215224.2,181,88.01,185357.64,85,69.84,269204.73,106,49.88,139180.32,74,35.93,214280.12,72,26.34
P0092,Highway Expansion,Building,Medium,6267180,89,47,32,3.97,0.85,307,Feasible,2,,,2755.59,224915.1,25,39.7,949329.67,38,81.88,1687618.68,72,37.25,2056267.42,86,53.99,1349049.13,85,22.19
P0093,Industrial Complex,Power Plant,Medium,3704238,63,91,38,2.17,0.86,307,Feasible,2,,,590.66,196344.97,38,74.52,462224.3,59,100.0,646478.74,58,59.95,1861665.68,105,100.0,537524.3,48,95.67
P0094,Smart Solar Grid,Building,Medium,3630708,84,42,26,3.74,0.84,381,Not Feasible,2,,,1157.63,292232.96,22,33.79,553193.63,54,67.04,1192041.19,83,36.62,959228.23,96,46.91,634011.99,126,25.64
P0095,Dam Reinforcement,Power Plant,Medium,4494679,97,72,28,3.33,0.67,171,Borderline,2,,,717.25,355807.82,23,56.74,576868.63,28,83.03,679510.96,31,42.21,2366066.54,68,95.69,516425.05,20,82.34
P0096,Dam Reinforcement,Building,High,6517209,94,57,73,1.76,0.58,259,Feasible,3,,,2634.59,205904.27,22,46.3,891826.72,40,100.0,1976293.15,46,37.88,1932217.4,61,66.37,1510967.46,89,32.62
P0097,Dam Reinforcement,Bridge,Low,2767640,69,47,80,6.07,0.79,138,Not Feasible,1,,,432.09,192116.1,11,32.18,662772.63,37,82.39,1196306.44,59,68.24,422463.69,16,35.59,293981.13,16,16.61
P0098,Smart Solar Grid,Bridge,High,3613740,98,88,21,4.77,0.74,599,Feasible,3,,,572.22,253478.95,51,60.0,702720.07,169,100.0,1608348.56,230,100.0,519890.58,82,60.13,529301.83,66,36.23
P0099,Industrial Complex,Building,Low,2285160,62,89,69,8.66,0.86,194,Not Feasible,1,,,762.57,158936.83,14,85.95,271409.33,25,100.0,609789.26,38,57.7,821270.96,51,100.0,423753.62,66,46.6
P0100,Smart Solar Grid,Water Infra,Medium,6805212,87,92,94,0.32,0.72,349,Feasible,2,,,2622.72,990872.6,61,100.0,1116698.81,71,100.0,2678487.96,109,50.87,1464646.54,64,80.7,554506.1,43,86.27
P0101,Smart Solar Grid,Building,Low,6173036,98,86,50,6.44,0.67,249,Borderline,1,,,1950.3,311432.01,14,82.15,730656.81,30,100.0,1905633.66,43,57.9,1893267.06,77,94.99,1332046.46,85,38.67
P0102,Highway Expansion,Road,Low,2425472,95,80,52,7.63,0.65,174,Feasible,1,,,3621.83,497651.63,58,100.0,426456.01,30,100.0,655383.57,39,70.88,251804.31,27,40.07,594176.49,21,37.69
P0103,Highway Expansion,Bridge,High,1048984,98,85,97,7.59,0.61,390,Feasible,3,,,179.4,79189.75,25,56.48,233580.83,105,100.0,445712.14,136,100.0,154507.44,64,60.22,135993.85,60,37.5
P0104,Industrial Complex,Building,Medium,3400070,57,56,99,8.86,0.63,567,Not Feasible,2,,,1076.21,154841.42,43,44.63,475719.72,80,91.67,965083.5,104,48.91,960165.69,146,63.96,844259.67,194,30.83
P0105,Highway Expansion,Road,Medium,4265879,92,61,30,7.29,0.55,219,Not Feasible,2,,,13876.14,1121645.57,78,100.0,763282.19,38,85.39,1024977.15,47,52.85,485846.73,24,31.39,870127.36,32,29.88
P0106,Dam Reinforcement,Bridge,Medium,2504384,69,38,52,9.28,0.67,188,Borderline,2,,,410.53,199675.65,18,26.08,516276.2,56,64.65,1168507.02,73,56.97,311533.1,20,26.81,308392.04,20,15.49
P0107,Highway Expansion,Water Infra,Low,3230919,82,97,26,3.33,0.52,518,Borderline,1,,,1387.61,480014.58,92,100.0,505604.94,119,100.0,1197970.01,144,63.19,755629.45,97,85.15,291700.01,66,100.0
P0108,Dam Reinforcement,Water Infra,Medium,2752126,75,75,50,5.03,0.59,418,Borderline,2,,,1246.97,390502.47,64,85.8,477302.25,89,100.0,1113072.04,137,54.22,537619.12,70,60.28,233630.12,58,73.37
P0109,Industrial Complex,Road,High,5330634,88,96,67,0.14,0.87,577,Borderline,3,,,17358.95,1256003.1,218,100.0,915208.99,108,100.0,1332371.31,131,80.03,589043.54,62,51.82,1238007.05,57,48.06
P0110,Smart Solar Grid,Building,Low,2737095,70,55,66,0.07,0.66,136,Borderline,1,,,1201.37,121228.22,10,48.07,388997.98,16,86.36,863522.17,23,45.72,855226.5,38,66.06,508120.12,50,28.8
P0111,Smart Solar Grid,Bridge,Low,3111138,98,37,97,2.4,0.83,473,Feasible,1,,,554.91,180422.37,31,29.02,561662.44,128,64.65,1461857.44,180,52.95,467608.82,72,27.29,439586.93,62,11.08
P0112,Highway Expansion,Water Infra,Low,5780450,91,35,72,1.01,0.86,235,Feasible,1,,,2549.5,748086.9,44,42.24,1095044.06,52,45.11,2363783.48,74,18.92,1210208.16,39,31.85,363327.41,26,36.88
P0113,Dam Reinforcement,Road,Low,3109818,92,53,99,2.6,0.79,271,Borderline,1,,,5748.52,804589.92,89,88.57,480454.53,44,66.35,820693.48,70,46.77,368806.62,29,33.94,635273.45,39,29.38
P0114,Urban Flyover,Power Plant,High,3231785,90,77,38,1.77,0.98,449,Not Feasible,3,,,482.81,260895.12,71,61.74,349311.02,92,83.01,525976.25,82,53.03,1669536.36,145,100.0,426066.25,59,81.97
P0115,Urban Flyover,Building,Low,5483302,58,74,25,0.29,0.51,235,Feasible,1,,,1909.69,281516.35,18,64.23,811669.13,25,100.0,1362120.1,57,55.79,1823381.62,58,87.07,1204614.8,76,41.42
P0116,Urban Flyover,Power Plant,Low,3948089,73,42,68,9.09,0.87,149,Feasible,1,,,463.31,357419.78,21,31.32,468724.89,28,45.23,781434.38,29,30.81,1806216.56,53,56.92,534293.38,18,45.73
P0117,Smart Solar Grid,Building,High,3725928,86,98,92,0.08,0.98,442,Feasible,3,,,1621.92,287209.23,26,85.71,526915.8,54,100.0,1176492.26,96,61.32,939742.23,120,100.0,795568.48,147,67.71
P0118,Smart Solar Grid,Bridge,Medium,4853339,98,54,69,7.36,0.93,170,Feasible,2,,,784.06,417780.9,14,41.9,857562.31,41,93.37,2178310.19,63,75.83,718779.13,27,39.32,680906.46,25,19.58
P0119,Dam Reinforcement,Road,High,2843400,90,49,31,1.52,0.58,179,Borderline,3,,,8895.27,633958.21,63,84.2,480246.92,30,65.6,758620.35,41,39.41,392853.07,19,29.17,577721.45,26,26.63
P0120,Highway Expansion,Bridge,Medium,2079111,66,95,42,9.12,0.66,348,Feasible,2,,,459.5,146421.99,30,78.66,411185.21,100,100.0,909621.44,129,100.0,323461.8,43,58.05,288420.56,45,32.14
