Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk,Site_Prep_Actual_Cost,Site_Prep_Actual_Days,Foundations_Actual_Cost,Foundations_Actual_Days,Structure_Actual_Cost,Structure_Actual_Days,Systems_Actual_Cost,Systems_Actual_Days,Finishing_Actual_Cost,Finishing_Actual_Days,Actual_Cost_Total,Actual_Time_Total,Comp_High,Comp_Low,Comp_Medium
P0015,Smart Solar Grid,Bridge,Medium,5521373,95,72,39,8.7,0.7,422,Not Feasible,,,1040.91,332452.0,38,51.53,1301369.46,123,100.0,2404633.94,154,100.0,800198.07,45,46.05,682719.52,63,26.51,372214.1,43,1524177.32,172,2816332.05,215,891234.82,49,746187.05,62,6350145.34,541,False,False,True
P0016,Smart Solar Grid,Power Plant,Low,4344769,99,67,43,6.05,0.59,278,Feasible,,,700.94,227072.3,28,55.72,475389.9,52,73.32,652728.62,41,44.97,2445214.77,113,85.64,544363.41,44,75.34,244102.86,31,519564.1,63,694538.68,43,2703104.32,144,596066.46,54,4757376.42,335,False,True,False
P0017,Highway Expansion,Water Infra,High,1791743,70,66,83,6.14,0.78,351,Feasible,,,700.32,195918.7,66,71.0,326217.66,76,87.69,731132.58,110,46.29,431754.31,54,59.37,106719.75,45,65.66,223369.85,85,377721.57,105,814343.06,125,486904.22,66,121066.13,56,2023404.83,437,True,False,False
P0018,Highway Expansion,Water Infra,High,1103355,70,87,99,5.32,0.85,196,Not Feasible,,,443.35,137818.09,39,93.84,182896.29,46,100.0,438528.58,52,59.18,255893.76,37,76.67,88218.28,22,87.61,159198.67,55,212459.91,67,490509.13,63,290952.25,49,101323.74,30,1254443.7,264,True,False,False
P0019,Urban Flyover,Bridge,Medium,2262752,54,62,84,0.92,0.77,137,Feasible,,,428.06,151820.03,14,47.55,396992.13,32,100.0,1088318.24,55,92.38,345985.07,21,41.66,279636.53,15,25.95,157118.66,15,431418.26,45,1174501.52,75,356046.96,22,283428.84,15,2402514.24,172,False,False,True
P0020,Highway Expansion,Power Plant,Medium,2396025,97,88,92,4.45,0.72,141,Feasible,,,303.26,144283.06,17,67.24,353964.06,29,95.34,429157.77,24,58.47,1118506.32,53,100.0,350113.78,18,100.0,157426.7,21,396377.57,40,464404.58,28,1257859.36,74,393733.94,25,2669802.15,188,False,False,True
P0021,Smart Solar Grid,Water Infra,High,6664789,69,40,95,10.0,0.69,303,Not Feasible,,,2989.26,709879.23,59,48.82,1144878.15,60,54.83,2686472.8,88,27.45,1550589.64,55,32.99,572969.18,41,35.92,823285.49,68,1335385.86,71,3052166.19,91,1771160.95,58,656330.39,44,7638328.88,332,True,False,False
P0022,Highway Expansion,Road,Low,6183740,86,97,36,8.35,0.92,264,Feasible,,,19078.14,1584514.01,99,100.0,889182.16,49,100.0,1629457.47,59,88.91,621370.53,28,55.87,1459215.84,29,51.44,1846588.6,134,1036250.63,66,1879820.56,76,695092.31,31,1625494.15,32,7083246.25,339,False,True,False
P0023,Dam Reinforcement,Bridge,Medium,2307371,52,97,80,8.93,0.61,157,Feasible,,,389.77,159228.2,9,68.68,535245.8,50,100.0,1034654.87,59,100.0,313550.96,20,68.44,264691.16,18,35.03,181445.1,11,627803.21,70,1213572.61,82,357220.07,24,292125.82,19,2672166.81,206,False,False,True
P0024,Smart Solar Grid,Road,Low,1917040,93,51,34,8.23,0.87,400,Not Feasible,,,5021.54,464108.74,131,86.22,340917.78,73,70.08,484808.88,92,43.1,206068.22,47,23.93,421136.39,56,31.66,526145.12,168,380744.73,87,527794.08,96,220216.22,44,453447.87,55,2108348.02,450,False,True,False
P0025,Dam Reinforcement,Bridge,Medium,6743066,82,95,70,1.03,0.88,407,Feasible,,,1357.98,453258.31,25,71.75,1588975.19,110,100.0,2888590.05,166,100.0,860187.76,47,54.33,952054.68,59,41.17,480883.43,31,1730255.93,154,3145423.61,232,897780.91,54,981259.97,63,7235603.85,534,False,False,True
P0026,Highway Expansion,Building,Medium,3253882,58,73,46,2.27,0.71,262,Feasible,,,1353.94,201825.77,18,60.92,510605.59,37,100.0,1045751.02,63,49.85,825870.65,60,80.46,669828.97,84,44.63,214563.55,21,562827.03,52,1100150.87,70,894164.5,77,701169.66,91,3472875.61,311,False,False,True
P0027,Industrial Complex,Building,Low,4530409,58,35,93,0.03,0.65,132,Feasible,,,1501.42,194629.02,9,34.29,595900.99,19,57.4,1177036.76,22,21.5,1512936.71,37,37.94,1049905.52,45,23.87,193498.12,9,605675.81,21,1155726.88,20,1509453.81,38,1033289.12,42,4497643.74,130,False,True,False
P0028,Urban Flyover,Power Plant,High,5849115,53,71,80,3.04,0.74,305,Borderline,,,900.2,323327.02,38,52.39,793177.7,59,79.28,960686.37,59,50.75,2941896.36,106,90.58,830027.55,43,81.99,351715.42,45,884865.61,78,1043406.93,69,3316328.85,148,928300.2,58,6524617.01,398,True,False,False
P0029,Smart Solar Grid,Water Infra,Low,5721339,84,54,77,1.09,0.55,593,Not Feasible,,,2767.76,675759.93,107,66.75,894512.92,142,73.95,2421340.07,192,34.68,1202207.73,89,42.7,527518.35,64,51.91,701146.27,126,934381.47,172,2436774.73,192,1219249.06,93,539721.47,70,5831273.0,653,False,True,False
P0030,Dam Reinforcement,Road,High,5842447,66,86,50,4.73,0.52,553,Feasible,,,12166.41,1408824.0,176,100.0,915585.52,104,100.0,1412952.97,128,78.71,764062.68,77,52.17,1341021.82,67,40.3,1646449.88,255,1070017.03,151,1619315.6,170,854110.36,90,1482154.69,74,6672047.56,740,True,False,False
P0031,Industrial Complex,Water Infra,High,2500942,83,84,31,6.77,0.56,386,Borderline,,,1146.36,280542.82,70,100.0,401686.58,90,100.0,1083421.81,112,54.21,480962.29,67,65.03,254328.49,47,82.51,330609.04,102,473372.35,131,1223622.87,133,548776.81,84,294950.96,63,2871332.03,513,True,False,False
P0032,Industrial Complex,Building,Medium,5260029,73,45,65,8.75,0.59,388,Not Feasible,,,2475.09,173501.02,24,39.32,795043.22,52,77.19,1529506.7,90,34.83,1515037.11,98,53.63,1246940.95,124,20.03,192360.1,25,913580.32,66,1688433.96,93,1702844.86,112,1356820.88,118,5854040.12,414,False,False,True
P0033,Smart Solar Grid,Road,Medium,4275709,81,43,50,7.49,0.75,216,Feasible,,,6827.68,892406.65,73,76.66,785703.36,37,57.58,1037411.23,51,37.84,611900.52,26,22.75,948287.24,29,20.18,1017478.91,92,879945.71,43,1140158.92,54,662726.52,25,1024473.55,28,4724783.61,242,False,False,True
P0034,Smart Solar Grid,Power Plant,Medium,1084654,50,68,51,9.39,0.92,553,Feasible,,,159.13,68169.27,60,54.06,148994.98,92,71.02,186064.96,101,48.83,557268.55,209,90.63,124156.25,91,75.46,76923.94,68,170834.97,114,208918.67,112,650653.14,281,142945.47,115,1250276.19,690,False,False,True
P0035,Industrial Complex,Water Infra,High,6147581,57,57,51,0.54,0.62,476,Feasible,,,3350.05,742627.71,77,70.58,1114200.57,118,77.54,2576953.92,133,36.84,1140833.58,93,44.84,572965.21,56,55.21,803817.95,99,1213847.7,156,2701380.86,144,1205145.57,105,611272.1,67,6535464.18,571,True,False,False
P0036,Urban Flyover,Bridge,High,2954354,94,80,72,0.12,0.97,413,Feasible,,,557.18,229648.15,37,67.59,556079.05,110,100.0,1325714.49,154,100.0,392309.2,54,45.85,450603.11,58,31.45,246153.64,47,614140.92,160,1464136.3,223,411942.61,61,466639.16,61,3203012.63,552,True,False,False
P0037,Urban Flyover,Bridge,Low,3416182,72,78,80,6.61,0.98,120,Feasible,,,564.66,252597.14,11,56.26,790517.3,35,100.0,1492986.36,46,100.0,385283.76,14,46.0,494797.44,14,28.49,273078.4,12,890004.38,47,1680879.6,62,412477.7,15,520853.51,14,3777293.59,150,False,True,False
P0038,Dam Reinforcement,Road,Low,4474675,96,38,65,2.89,0.98,414,Feasible,,,11960.09,1087918.04,142,62.91,698632.37,70,51.49,1201377.38,105,29.56,461649.27,50,21.57,1025097.94,47,24.47,1155245.28,164,733897.46,76,1235698.85,102,471152.84,46,1049170.66,44,4645165.09,432,False,True,False
P0039,Urban Flyover,Bridge,Low,3652991,89,87,93,2.54,0.92,146,Not Feasible,,,797.94,275863.65,9,59.78,740182.95,39,100.0,1715738.38,56,100.0,419194.64,20,54.6,502011.37,21,28.94,287869.0,10,801708.44,53,1858354.0,76,435299.51,22,508613.99,20,3891844.94,181,False,True,False
P0040,Industrial Complex,Bridge,Low,3428388,61,74,99,3.31,0.68,155,Feasible,,,588.57,260128.37,12,54.51,632489.21,50,100.0,1505729.88,55,100.0,550109.66,18,50.59,479930.89,19,22.79,272070.4,13,690062.91,68,1642792.2,75,573225.38,20,486864.44,18,3665015.33,194,False,True,False
P0041,Industrial Complex,Building,High,1528178,61,51,26,2.7,0.54,279,Feasible,,,758.73,108981.96,26,47.24,193991.58,43,82.75,494404.04,55,31.55,452310.07,64,63.02,278490.34,91,30.44,117564.64,30,216364.98,58,525349.34,58,495283.19,79,295602.93,95,1650165.08,320,True,False,False
P0042,Highway Expansion,Power Plant,High,3663046,95,61,23,5.11,0.78,544,Not Feasible,,,467.4,369128.63,60,49.12,506317.43,113,69.74,565744.95,90,43.65,1771028.59,194,81.09,450826.41,87,61.4,408155.77,69,570852.83,144,622298.29,101,2017950.3,260,504326.14,107,4123583.33,681,True,False,False
P0043,Industrial Complex,Bridge,Low,3586644,96,98,71,4.4,0.78,518,Borderline,,,733.23,183587.02,44,74.88,878643.55,161,100.0,1587972.31,195,100.0,464699.7,58,59.67,471741.43,60,41.18,197817.98,54,968878.26,218,1751053.48,264,493636.01,66,492372.33,62,3903758.06,664,False,True,False
P0044,Urban Flyover,Bridge,Low,6499720,64,98,50,5.12,0.92,150,Feasible,,,1145.8,340185.7,12,74.76,1646368.43,44,100.0,2901737.77,59,100.0,740444.19,18,65.66,870983.9,18,40.96,369194.49,15,1828720.68,60,3223135.09,80,796780.42,21,915528.42,19,7133359.1,195,False,True,False
P0045,Dam Reinforcement,Water Infra,High,3570406,90,71,94,6.73,1.0,246,Feasible,,,1530.64,472586.45,43,82.15,755255.74,55,97.9,1453289.28,75,41.69,660656.51,39,61.83,228618.02,34,71.43,547892.74,58,888349.03,79,1621875.0,83,751549.39,48,262422.5,44,4072088.66,312,True,False,False
P0046,Highway Expansion,Road,Low,4416664,68,82,55,3.87,0.75,381,Feasible,,,11009.71,1064435.52,122,100.0,670058.77,68,100.0,1190119.05,87,67.56,529892.18,52,45.31,962158.48,51,47.18,1179783.94,165,742670.23,92,1280186.19,103,558114.17,55,1015215.85,54,4775970.38,469,False,True,False
P0047,Urban Flyover,Building,Medium,4385659,75,88,73,2.51,0.67,464,Borderline,,,1731.69,285668.76,36,82.95,621478.23,60,100.0,1225854.37,99,59.77,1169928.83,123,100.0,1082728.82,146,39.46,310849.11,47,686905.64,84,1305356.02,116,1293095.51,172,1130852.48,155,4727058.76,574,False,False,True
P0048,Dam Reinforcement,Road,High,4385357,78,68,73,1.66,0.59,555,Not Feasible,,,9036.67,998207.69,192,100.0,699323.73,90,88.41,1187523.3,124,58.35,505385.91,70,41.52,994916.37,78,41.17,1128877.24,279,782535.25,125,1292125.13,150,541157.73,78,1064979.73,87,4809675.08,719,True,False,False
P0049,Urban Flyover,Water Infra,Medium,3795513,71,44,36,3.49,0.5,329,Feasible,,,1988.96,425607.75,58,51.22,615037.23,82,60.48,1544658.85,88,30.95,849103.61,57,36.6,361105.55,44,40.74,453968.06,65,661798.9,96,1615817.6,89,893087.57,59,381327.88,47,4006000.01,356,False,False,True
P0050,Highway Expansion,Water Infra,Medium,2465689,89,58,94,7.42,0.75,269,Not Feasible,,,969.32,328057.64,53,67.6,400167.93,55,78.77,1103202.99,80,32.84,489274.71,51,49.77,144985.73,30,61.02,368489.8,64,454190.33,70,1198823.43,82,540397.92,57,161851.07,35,2723752.55,308,False,False,True
P0051,Industrial Complex,Water Infra,High,1068148,70,32,49,7.57,0.78,150,Not Feasible,,,452.48,133008.58,29,38.03,209342.5,38,46.09,451875.68,40,17.75,168685.09,25,26.3,105236.15,19,31.84,148920.08,32,236205.58,43,496048.09,39,186730.27,26,117122.68,20,1185026.7,160,True,False,False
P0052,Highway Expansion,Bridge,High,2825665,87,39,41,6.67,0.91,219,Borderline,,,571.41,184185.01,17,32.32,691176.09,63,62.43,1129380.36,79,60.4,448581.77,31,24.31,372341.77,29,15.55,203392.56,18,785516.81,78,1281080.44,96,491518.06,31,404491.61,28,3165999.48,251,True,False,False
P0053,Industrial Complex,Road,Medium,3745683,69,58,62,2.34,0.75,448,Feasible,,,5671.73,783422.31,155,96.36,593662.71,90,71.92,1119906.76,96,53.78,479256.98,49,31.46,769434.24,57,36.49,864991.03,213,640862.16,112,1188486.64,109,497832.59,50,803154.52,59,3995326.94,543,False,False,True
P0054,Highway Expansion,Road,Low,4397723,78,64,46,5.88,0.96,421,Feasible,,,9037.34,983512.25,141,100.0,756034.65,77,88.43,1091295.91,106,54.84,603693.79,48,30.49,963186.4,49,33.41,1109018.03,191,843545.19,99,1180036.03,118,637715.01,47,1020349.96,49,4790664.22,504,False,True,False
P0055,Smart Solar Grid,Road,Low,4003758,53,35,56,5.71,0.81,570,Feasible,,,11136.72,995448.36,188,63.52,593059.29,96,47.95,1018879.4,137,28.97,423561.65,84,20.01,972809.29,65,14.56,1085763.73,218,637396.4,103,1075217.76,133,443090.05,77,1012223.42,58,4253691.36,589,False,True,False
P0056,Urban Flyover,Power Plant,High,5056518,56,41,65,4.84,0.92,472,Borderline,,,773.77,278219.18,49,32.04,526055.22,74,45.34,888868.93,87,30.46,2753764.99,173,52.74,609609.69,89,44.41,301941.35,52,578266.32,84,963180.89,91,3048505.55,204,669517.41,100,5561411.52,531,True,False,False
P0057,Urban Flyover,Building,Medium,3669995,77,67,54,5.5,0.57,338,Not Feasible,,,1601.75,227659.5,21,65.49,649882.05,52,100.0,1165052.96,74,50.65,944346.79,80,79.84,683053.71,110,28.92,250809.23,25,739155.12,73,1265645.55,83,1054385.16,103,726682.71,110,4036677.77,394,False,False,True
P0058,Smart Solar Grid,Bridge,Medium,5450812,77,48,23,4.92,0.93,372,Feasible,,,886.36,451595.19,32,35.67,1221380.63,112,84.23,2276272.31,130,73.34,734164.07,53,32.64,767399.8,44,14.12,480589.84,33,1360743.69,147,2510529.98,162,779015.24,54,799677.57,40,5930556.32,436,False,False,True
P0059,Industrial Complex,Building,High,5997895,53,96,99,5.65,0.84,290,Feasible,,,2509.86,286289.56,29,90.71,880755.23,37,100.0,1678313.95,51,69.5,1935291.27,78,100.0,1217244.99,95,44.28,331473.66,41,1028447.52,54,1905409.0,65,2259816.85,113,1349364.17,107,6874511.2,380,True,False,False
P0060,Urban Flyover,Bridge,High,6091246,71,37,99,7.16,0.59,376,Feasible,,,1051.63,454447.77,30,28.54,1084192.97,89,59.07,2911976.47,158,56.85,731865.2,48,26.15,908763.59,52,14.38,502539.74,31,1234515.37,108,3308769.09,190,807434.3,49,991098.56,50,6844357.06,428,True,False,False
P0061,Smart Solar Grid,Road,Medium,5798669,61,37,45,1.1,0.59,547,Not Feasible,,,18588.6,1173270.6,181,62.18,1043880.31,91,50.93,1565601.07,132,31.46,748342.68,59,20.81,1267574.34,83,19.62,1255761.33,215,1105440.3,102,1627212.59,134,769761.57,56,1302334.61,79,6060510.4,586,False,False,True
P0062,Urban Flyover,Power Plant,Medium,2870928,94,76,38,7.5,0.96,176,Feasible,,,331.81,236389.04,18,57.22,324306.04,31,80.68,469045.59,33,49.02,1533514.45,68,100.0,307672.87,26,89.29,262969.92,21,368778.44,40,517740.57,37,1774981.91,95,352651.79,35,3277122.63,228,False,False,True
P0063,Dam Reinforcement,Power Plant,High,5155299,52,33,64,1.36,0.52,128,Feasible,,,763.37,381991.89,18,26.34,526544.07,25,35.28,825149.87,25,22.37,2756789.14,39,45.02,664824.02,21,35.99,398583.64,18,554200.12,27,857659.69,25,2928884.32,44,700222.94,23,5439550.71,137,True,False,False
P0064,Industrial Complex,Road,Medium,3557489,71,80,45,0.67,0.73,124,Feasible,,,7732.63,898403.26,39,100.0,632841.82,23,100.0,928984.4,28,70.99,436499.33,17,39.76,660760.19,17,45.68,981002.75,54,691025.5,32,987643.15,35,450529.16,18,685881.19,19,3796081.75,158,False,False,True
P0065,Dam Reinforcement,Building,Low,2773415,93,96,41,9.76,0.66,454,Feasible,,,937.2,204768.67,47,79.27,321559.97,68,100.0,807204.25,101,76.5,756996.18,105,100.0,682885.94,134,45.53,232964.38,58,372864.1,92,915995.59,124,877773.13,142,752628.36,142,3152225.56,558,False,True,False
P0066,Industrial Complex,Water Infra,High,6000193,51,74,77,9.57,0.83,233,Feasible,,,2353.28,640422.72,36,90.83,1090710.27,50,100.0,2637890.37,78,39.7,1046275.63,43,69.14,584894.02,26,66.78,768975.22,50,1320658.8,73,3018931.99,86,1231315.17,55,686816.29,33,7026697.47,297,True,False,False
P0067,Smart Solar Grid,Road,Low,6702653,73,37,82,0.6,0.92,384,Not Feasible,,,12464.4,1726097.0,137,62.75,1108108.73,61,45.07,1617410.44,80,35.24,838890.69,48,21.93,1412146.15,58,20.0,1792747.12,158,1131749.94,64,1636379.41,80,837817.15,45,1407675.46,53,6806369.08,400,False,True,False
P0068,Industrial Complex,Bridge,High,3305413,83,45,47,4.43,0.68,292,Feasible,,,721.81,265665.96,32,37.92,684582.49,78,73.18,1414700.26,108,67.91,423917.02,38,25.81,516547.27,36,20.19,288811.51,35,769507.87,101,1582390.97,137,455472.85,39,551957.76,36,3648140.96,348,True,False,False
P0069,Industrial Complex,Building,High,4910197,76,96,84,1.86,0.71,339,Not Feasible,,,1566.81,252902.74,30,91.96,712755.13,42,100.0,1244954.82,80,67.08,1630723.06,92,100.0,1068861.25,95,57.72,282370.89,42,801664.58,61,1358345.45,101,1834140.32,133,1155983.7,115,5432504.94,452,True,False,False
P0070,Smart Solar Grid,Water Infra,Medium,6558019,90,38,63,4.85,0.99,324,Borderline,,,2699.79,831269.04,59,43.45,1140976.09,77,52.59,3057150.43,97,27.1,1102823.4,51,29.32,425800.04,40,37.53,892305.23,64,1235480.72,87,3230202.34,96,1167768.01,51,454471.39,42,6980227.69,340,False,False,True
P0071,Industrial Complex,Power Plant,Low,6414709,50,89,62,8.3,0.89,143,Feasible,,,975.77,403042.36,19,65.9,682954.39,22,96.06,1159357.18,27,63.41,3241190.92,46,100.0,928164.15,29,95.78,446852.46,22,778615.47,29,1282374.86,31,3708465.98,62,1057901.32,39,7274210.09,183,False,True,False
P0072,Urban Flyover,Bridge,Medium,1271836,57,44,56,9.51,0.95,577,Not Feasible,,,218.66,91314.59,51,34.04,221900.59,171,76.3,634214.35,200,66.18,162371.53,78,25.64,162034.93,77,17.85,101201.53,52,255977.24,216,724729.86,242,178490.21,77,176767.32,72,1437166.16,659,False,False,True
P0073,Highway Expansion,Power Plant,Low,4584702,72,70,85,6.34,0.72,289,Feasible,,,744.11,425445.34,41,54.13,488865.2,55,72.94,836462.51,51,45.3,2364448.85,90,93.83,469480.1,52,83.8,457933.72,45,535586.03,66,892795.74,54,2640854.24,119,519554.38,66,5046724.11,350,False,True,False
P0074,Smart Solar Grid,Bridge,Medium,3095505,87,51,36,3.54,0.62,525,Feasible,,,556.06,270203.68,36,38.08,600894.99,128,90.0,1276716.73,213,73.95,472293.67,73,32.05,475395.93,76,20.92,284336.43,38,663950.19,172,1389917.52,267,494109.59,74,491991.49,73,3324305.22,624,False,False,True
P0075,Highway Expansion,Water Infra,High,3299435,55,53,59,6.03,0.71,222,Borderline,,,1695.23,402435.75,34,60.24,593093.6,47,73.26,1393186.45,71,33.47,727510.6,42,49.77,183208.59,28,48.25,454193.77,41,677592.54,61,1532666.09,76,812968.87,49,204433.06,32,3681854.33,259,True,False,False
P0076,Smart Solar Grid,Bridge,Low,1196769,71,73,57,3.12,0.86,179,Feasible,,,259.46,92784.61,20,50.85,314565.86,50,100.0,520835.38,62,100.0,137102.07,21,46.31,131481.08,26,31.17,96497.76,22,342456.03,68,567013.91,84,141972.73,22,134181.95,26,1282122.38,222,False,True,False
P0077,Smart Solar Grid,Water Infra,Low,3658505,74,30,80,9.1,0.55,205,Feasible,,,1994.51,505779.15,36,34.49,661560.05,49,40.5,1389761.75,62,15.62,777024.82,32,28.22,324379.24,25,31.17,548810.35,36,722015.34,51,1480494.07,56,838023.14,31,350847.51,25,3940190.41,199,False,True,False
P0078,Dam Reinforcement,Road,High,2271741,67,39,28,8.7,0.64,374,Feasible,,,5591.14,603858.02,134,65.63,399078.23,61,48.81,590334.25,78,31.27,245013.62,51,26.32,433456.87,50,22.98,704966.25,168,458544.94,70,666956.35,82,275486.34,52,485780.5,50,2591734.38,422,True,False,False
P0079,Dam Reinforcement,Road,High,4769315,66,85,96,5.58,0.52,284,Feasible,,,10127.28,998718.47,106,100.0,799336.52,44,100.0,1257986.17,61,76.93,574930.63,38,53.19,1138343.22,36,46.88,1174274.39,154,939844.84,64,1448095.37,80,647226.06,45,1273807.94,41,5483248.6,384,True,False,False
P0080,Industrial Complex,Bridge,Medium,2046797,61,79,94,3.25,0.72,491,Feasible,,,327.4,135685.38,49,60.58,503297.71,119,100.0,823337.6,183,100.0,299855.81,74,52.1,284620.51,67,31.68,145435.2,58,559513.66,166,915300.48,256,318832.47,84,296759.25,68,2235841.06,632,False,False,True
P0081,Highway Expansion,Building,Low,4047262,55,41,80,2.93,0.91,286,Feasible,,,1631.74,242203.66,25,38.03,546706.03,32,69.42,1174915.05,57,30.27,1242672.32,81,46.81,840764.95,91,20.48,248705.64,25,578358.6,38,1197436.66,56,1286825.08,86,848738.94,84,4160064.92,289,False,True,False
